id|filename|username|source|is_expert|provider_institute_id|is_hybrid|hybrid_memo|cult_stat|botrecat|x1_genus|x1_sp1|country|latitude|longitude|alt|field_collected_data|data_public_access
39|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Uganda|1.71660|31.66600|1144.00000|0|1
40|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Uganda|0.40000|33.03300|1099.00000|0|1
41|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Uganda|-0.90000|31.61600|1274.00000|0|1
42|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Uganda|-0.90000|31.58300|1264.00000|0|1
43|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Kenya|-4.56600|39.16600|30.00000|0|1
44|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Kenya|-3.28300|39.96600|15.00000|0|1
45|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Kenya|-4.43300|39.21600|305.00000|0|1
46|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Kenya|-1.95000|40.13000|30.00000|0|1
47|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Kenya|-4.56600|39.16600|30.00000|0|1
48|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Kenya|-4.43300|39.21660|305.00000|0|1
49|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Kenya|-1.95700|40.13800|30.00000|0|1
50|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Kenya|-0.63330|35.00000||0|1
51|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Tanzania|-6.78300|35.83300|396.00000|0|1
52|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Tanzania|-6.15000|37.58300|660.00000|0|1
53|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Tanzania|-6.91660|37.83300||0|1
54|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Tanzania|-0.08330|31.41600|1219.00000|0|1
55|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Tanzania|-1.00000|31.83330||0|1
56|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Tanzania|-8.50000|38.58300|150.00000|0|1
57|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Tanzania|-6.86660|37.60830|457.00000|0|1
58|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Tanzania|-6.15000|37.58300|660.00000|0|1
59|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Tanzania|-7.78300|37.60830|367.00000|0|1
60|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Tanzania|-6.23300|39.34100||0|1
61|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Tanzania|-5.21600|38.68300|274.00000|0|1
62|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Tanzania|-5.10000|38.65000|305.00000|0|1
63|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Tanzania|-1.00000|31.83330||0|1
64|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Tanzania|-5.03330|38.43300|300.00000|0|1
65|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Tanzania|-6.91660|39.33300|200.00000|0|1
66|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Uganda|0.51600|33.50000|1219.00000|0|1
67|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Uganda|0.83300|30.83300|762.00000|0|1
68|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Uganda|0.50000|30.50000||0|1
69|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Uganda|0.51330|30.50000||0|1
70|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Uganda|0.83300|30.10000|732.00000|0|1
71|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Uganda|0.51660|33.50000|1219.00000|0|1
72|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Uganda|0.20000|32.55000|1189.00000|0|1
73|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Uganda|0.77500|30.15000|762.00000|0|1
74|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Uganda|0.96600|31.54100|1158.00000|0|1
75|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Uganda|1.78300|31.93300||0|1
76|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Uganda|1.78300|31.75000|1069.00000|0|1
77|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Uganda|0.51660|33.50000|1219.00000|0|1
